dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
model16,Fundamental Scores,Model,analyst_revision_rank_derivative,analyst_revision_rank_derivative,Daily-indicator variant of momentum capturing recent price moves and analyst estimate revisions,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=analyst,analyst analyst_revision_rank_derivative capturing daily estimate fundamental indicator model model16 momentum moves possible_direction price recent revisions scores variant
model16,Fundamental Scores,Model,cashflow_efficiency_rank_derivative,cashflow_efficiency_rank_derivative,Ranks stocks by their ability to generate cash flows and operational profitability,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=fundamental,ability by cash cashflow_efficiency_rank_derivative flows fundamental generate model model16 operational possible_direction profitability ranks scores stocks their
model16,Fundamental Scores,Model,composite_factor_score_derivative,composite_factor_score_derivative,Momentum score based on analyst revisions; intraday variant,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=analyst,analyst based composite_factor_score_derivative fundamental intraday model model16 momentum possible_direction revisions score scores variant
model16,Fundamental Scores,Model,earnings_certainty_rank_derivative,earnings_certainty_rank_derivative,Measures the sustainability and certainty of earnings quality,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=fundamental,certainty earnings earnings_certainty_rank_derivative fundamental measures model model16 possible_direction quality scores sustainability
model16,Fundamental Scores,Model,fscore_bfl_growth,fscore_bfl_growth,"Growth composite estimating expected medium-term growth potential (e.g., revenues, earnings); higher is better (0–100)",MATRIX,USA,TOP3000,1,0.3807,,,2026-07-16T15:20:39,possible_direction=fundamental,100 better composite earnings estimating expected fscore_bfl_growth fundamental growth higher is medium model model16 possible_direction potential revenues scores term
model16,Fundamental Scores,Model,fscore_bfl_momentum,fscore_bfl_momentum,Composite momentum measure reflecting recent price dynamics and analyst estimate revisions to identify improving or deteriorating names,MATRIX,USA,TOP3000,1,0.3774,,,2026-07-16T15:20:39,possible_direction=analyst,analyst composite deteriorating dynamics estimate fscore_bfl_momentum fundamental identify improving measure model model16 momentum names possible_direction price recent reflecting revisions scores
model16,Fundamental Scores,Model,fscore_bfl_profitability,fscore_bfl_profitability,Profitability composite ranking firms by ability to generate cash flows and operational efficiency; higher is better (0–100),MATRIX,USA,TOP3000,1,0.3797,,,2026-07-16T15:20:39,possible_direction=fundamental,100 ability better by cash composite efficiency firms flows fscore_bfl_profitability fundamental generate higher is model model16 operational possible_direction profitability ranking scores
model16,Fundamental Scores,Model,fscore_bfl_quality,fscore_bfl_quality,"Composite measuring earnings quality, stability, and balance-sheet resilience",MATRIX,USA,TOP3000,1,0.3828,,,2026-07-16T15:20:39,possible_direction=fundamental,balance composite earnings fscore_bfl_quality fundamental measuring model model16 possible_direction quality resilience scores sheet stability
model16,Fundamental Scores,Model,fscore_bfl_surface,fscore_bfl_surface,Static composite “style surface” score aggregating the five primary style scores; larger surface implies higher rank,MATRIX,USA,TOP3000,1,0.374,,,2026-07-16T15:20:39,possible_direction=unknown,aggregating composite five fscore_bfl_surface fundamental higher implies larger model model16 possible_direction primary rank score scores static style surface unknown
model16,Fundamental Scores,Model,fscore_bfl_surface_accel,fscore_bfl_surface_accel,Acceleration (derivative) of the pentagon surface score relative to the previous month,MATRIX,USA,TOP3000,1,0.3726,,,2026-07-16T15:20:39,possible_direction=unknown,acceleration derivative fscore_bfl_surface_accel fundamental model model16 month pentagon possible_direction previous relative score scores surface unknown
