"dataset_id","dataset_name","dataset_category","field_id","field_name","description","field_type","region","universe","delay","coverage","user_permission","permission_level","last_seen","notes"
"fundamental44","Accounting Quality Models","Fundamental","fnd44_cashflow_accruals","fnd44_cashflow_accruals","Accruals computed based on the difference between accounting earnings and cash flow from operations, scaled by total assets, to reflect non-cash adjustments to earnings","MATRIX","USA","TOP3000","1","0.8545","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental44","Accounting Quality Models","Fundamental","fnd44_factor_benford","fnd44_factor_benford","Benford forensic score measuring deviations from expected digit frequency distributions (per Benford’s Law) in financial statement data, indicating possible data manipulation if the deviation is high","MATRIX","USA","TOP3000","1","0.8545","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental44","Accounting Quality Models","Fundamental","fnd44_fscore","fnd44_fscore","A composite model-derived score predicting the likelihood of accounting misstatements by aggregating signals from accruals, performance, and other metrics, tailored to detect probable misconduct","MATRIX","USA","TOP3000","1","0.8545","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental44","Accounting Quality Models","Fundamental","fnd44_jones_cf_accruals","fnd44_jones_cf_accruals","Accruals calculated using the (original) Jones Model, a standard approach to estimate discretionary and non-discretionary accruals, helping flag earnings management risk","MATRIX","USA","TOP3000","1","0.8545","","","2026-07-16T15:20:39","possible_direction=analyst"
"fundamental44","Accounting Quality Models","Fundamental","fnd44_modified_jones_cf_accruals","fnd44_modified_jones_cf_accruals","Accruals calculated using the Modified Jones Model, which isolates discretionary accruals by assuming only credit sales are discretionary, refining the measurement compared to the standard Jones Model","MATRIX","USA","TOP3000","1","0.8545","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental44","Accounting Quality Models","Fundamental","fnd44_mscore","fnd44_mscore","Beneish M-Score: a statistical score derived to assess the likelihood of earnings manipulation by analyzing key financial ratios and accounting indices","MATRIX","USA","TOP3000","1","0.8545","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental44","Accounting Quality Models","Fundamental","fnd44_perc_accruals","fnd44_perc_accruals","Net Accruals / Percentage Accruals","MATRIX","USA","TOP3000","1","0.8545","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental44","Accounting Quality Models","Fundamental","fnd44_probability_restatement","fnd44_probability_restatement","A machine learning-based metric indicating the probability that a company will issue a financial statement restatement, trained mainly on U.S. data to detect restatement risk, which is often associated with subsequent negative stock performance","MATRIX","USA","TOP3000","1","0.8545","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental44","Accounting Quality Models","Fundamental","fnd44_score","fnd44_score","An overall, equally weighted composite score assessing a company's accounting quality, aggregating metrics from various accounting models in the wolfe_csi framework","MATRIX","USA","TOP3000","1","0.8545","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental44","Accounting Quality Models","Fundamental","fnd44_working_capital_accruals","fnd44_working_capital_accruals","Working capital accruals, typically calculated as the accrual component of working capital, scaled by total assets as an indicator of potential earnings manipulation","MATRIX","USA","TOP3000","1","0.8545","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental44","Accounting Quality Models","Fundamental","fnd44_yoon_wc_accruals","fnd44_yoon_wc_accruals","Working capital accruals estimated via the Yoon model, which incorporates more comprehensive factors (e.g., cash sales, cash/noncash expenses) for improved detection of discretionary accruals","MATRIX","USA","TOP3000","1","0.8545","","","2026-07-16T15:20:39","possible_direction=analyst"
