"dataset_id","dataset_name","dataset_category","field_id","field_name","description","field_type","region","universe","delay","coverage","user_permission","permission_level","last_seen","notes"
"imbalance5","Oil Price Resilience Scores","Imbalance","imb5_mktcap","imb5_mktcap","Market capitalization of security in regional currency units","MATRIX","USA","TOP3000","1","0.8669","","","2026-07-16T15:20:39","possible_direction=fundamental"
"imbalance5","Oil Price Resilience Scores","Imbalance","imb5_score","imb5_score","SHIELD-OIL composite score (0-1) indicating resilience/advantage in oil shock regimes","MATRIX","USA","TOP3000","1","0.8669","","","2026-07-16T15:20:39","possible_direction=fundamental"
