"dataset_id","dataset_name","dataset_category","field_id","field_name","description","field_type","region","universe","delay","coverage","user_permission","permission_level","last_seen","notes"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_top10pctranking","snt26_top10pctranking","Rank threshold (cutpoint) below which the top 10% best-ranked mapped domains for the issuer fall on the observation date; lower is more popular","VECTOR","USA","TOP3000","1","0.7692","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_top10pctranking_8","snt26_top10pctranking_8","The top 10% percentile ranking","VECTOR","USA","TOP3000","1","0.944","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_top10pctrankingavg","snt26_top10pctrankingavg","Average rank among the top 10% best-ranked mapped domains for the issuer on the observation date; lower values indicate stronger concentration of popularity at the top","VECTOR","USA","TOP3000","1","0.7692","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_top10pctrankingavg_14","snt26_top10pctrankingavg_14","The average ranking of the top 10% percentile","VECTOR","USA","TOP3000","1","0.944","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_top25pctranking","snt26_top25pctranking","Rank threshold (cutpoint) for the top 25% best-ranked mapped domains for the issuer on the observation date; lower is more popular","VECTOR","USA","TOP3000","1","0.7692","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_top25pctranking_17","snt26_top25pctranking_17","The top 25% percentile ranking","VECTOR","USA","TOP3000","1","0.944","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_top25pctrankingavg","snt26_top25pctrankingavg","Average rank among the top 25% best-ranked mapped domains for the issuer on the observation date; lower values indicate stronger popularity within that slice","VECTOR","USA","TOP3000","1","0.7692","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_top25pctrankingavg_1","snt26_top25pctrankingavg_1","The average ranking of the top 25% percentile","VECTOR","USA","TOP3000","1","0.944","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_top50pctranking","snt26_top50pctranking","Rank threshold (cutpoint) for the top 50% best-ranked mapped domains for the issuer on the observation date; lower is more popular","VECTOR","USA","TOP3000","1","0.7692","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_top50pctranking_2","snt26_top50pctranking_2","The top 50% percentile ranking","VECTOR","USA","TOP3000","1","0.944","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_top50pctrankingavg","snt26_top50pctrankingavg","Average rank among the top 50% best-ranked mapped domains for the issuer on the observation date; lower values indicate stronger popularity within that half","VECTOR","USA","TOP3000","1","0.7692","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_top50pctrankingavg_4","snt26_top50pctrankingavg_4","The average ranking of the top 50% percentile","VECTOR","USA","TOP3000","1","0.944","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_top75pctranking","snt26_top75pctranking","Rank threshold (cutpoint) for the top 75% best-ranked mapped domains for the issuer on the observation date; lower is more popular","VECTOR","USA","TOP3000","1","0.7692","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_top75pctranking_12","snt26_top75pctranking_12","The top 75% percentile ranking","VECTOR","USA","TOP3000","1","0.944","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_top75pctrankingavg","snt26_top75pctrankingavg","Average rank among the top 75% best-ranked mapped domains for the issuer on the observation date; lower values indicate stronger popularity within that broad slice","VECTOR","USA","TOP3000","1","0.7692","","","2026-07-16T15:20:39","possible_direction=quality"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_top75pctrankingavg_3","snt26_top75pctrankingavg_3","The average ranking of the top 75% percentile","VECTOR","USA","TOP3000","1","0.944","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_topranking","snt26_topranking","Best (lowest) DNS popularity rank among all mapped domains for the issuer on the observation date","VECTOR","USA","TOP3000","1","0.7692","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_topranking_10","snt26_topranking_10","The top ranking","VECTOR","USA","TOP3000","1","0.944","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_totalcountrydomains","snt26_totalcountrydomains","Count of mapped domains with country-code TLDs (ccTLDs) for the issuer on the observation date; excludes generic TLDs like .com","VECTOR","USA","TOP3000","1","0.7692","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_totalcountrydomains_13","snt26_totalcountrydomains_13","Total number of country-code TLDs","VECTOR","USA","TOP3000","1","0.944","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_totaldomains","snt26_totaldomains","Total count of mapped domains for the issuer on the observation date","VECTOR","USA","TOP3000","1","0.7692","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_totaldomains_5","snt26_totaldomains_5","Total number of sub-domains","VECTOR","USA","TOP3000","1","0.944","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_wq_pit","snt26_wq_pit","For ongoing data it is wq_append_time, for history data it simulated from PIT simulation field in the MCD input settings. MCD builder can disable auto-filled value of wq_pit for ongoing, by checking the flag ""Always simulate PIT"" in MCD Output Config","VECTOR","USA","TOP3000","1","0.7692","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_wq_pit_16","snt26_wq_pit_16","For ongoing data it is wq_append_time, for history data it simulated from PIT simulation field in the MCD input settings. MCD builder can disable auto-filled value of wq_pit for ongoing, by checking the flag ""Always simulate PIT"" in MCD Output Config","VECTOR","USA","TOP3000","1","0.944","","","2026-07-16T15:20:39","possible_direction=sentiment"
