"dataset_id","dataset_name","dataset_category","field_id","field_name","description","field_type","region","universe","delay","coverage","user_permission","permission_level","last_seen","notes"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_avgranking","snt26_avgranking","Mean DNS popularity rank across all mapped domains for the issuer on the observation date; lower means more popular overall","VECTOR","USA","TOP3000","1","0.7692","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_avgranking_7","snt26_avgranking_7","Average of rankings","VECTOR","USA","TOP3000","1","0.944","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_dltcc","snt26_dltcc","Country code top-level domain","VECTOR","USA","TOP3000","1","0.9463","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_kurtosis","snt26_kurtosis","Kurtosis of the issuer’s domain rank distribution on the observation date","VECTOR","USA","TOP3000","1","0.7692","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_kurtosis_15","snt26_kurtosis_15","Kurtosis of ranking","VECTOR","USA","TOP3000","1","0.8797","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_rank","snt26_rank","Cisco Umbrella DNS popularity rank for the domain on data_date (lower means more popular)","VECTOR","USA","TOP3000","1","0.7718","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_relpopularity08","snt26_relpopularity08","Composite attention metric approximately equal to the sum over domains of 1/rank^0.8 (alpha=0.8); reduces dominance of top ranks","VECTOR","USA","TOP3000","1","0.7692","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_relpopularity08_11","snt26_relpopularity08_11","Relative popularity calculated with alpha=0.8","VECTOR","USA","TOP3000","1","0.944","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_relpopularity1","snt26_relpopularity1","Composite attention breadth score, approximately the sum over domains of 1/rank (alpha=1); higher indicates broader/stronger attention","VECTOR","USA","TOP3000","1","0.7692","","","2026-07-16T15:20:39","possible_direction=quality"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_relpopularity1_6","snt26_relpopularity1_6","Relative popularity calculated with alpha=1","VECTOR","USA","TOP3000","1","0.944","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_skewness","snt26_skewness","Skewness of the issuer’s domain rank distribution on the observation date","VECTOR","USA","TOP3000","1","0.7692","","","2026-07-16T15:20:39","possible_direction=sentiment"
"sentiment26","Website Popularity Ranking Dataset","Sentiment","snt26_skewness_9","snt26_skewness_9","Skewness of ranking","VECTOR","USA","TOP3000","1","0.8797","","","2026-07-16T15:20:39","possible_direction=sentiment"
